node1	edge	node2
HOXA1	4.070675724	HIC1
HOXA1	10.19371685	HAND2
HOXA1	4.420907564	HOXA7
HOXA1	-3.322282234	PRDM8
HOXA1	6.288939778	TWIST2
HOXA1	3.005926888	PTRF
TCF7L1	-2.889614081	SMAD6
TCF7L1	8.662997889	PURG
TCF7L1	2.587249089	DZIP1
OSR1	-3.073633902	TWIST2
OSR1	-1.381797723	ZFP36
OSR1	-1.56842541	CELF2
PLAGL1	-3.335841556	SMAD6
PLAGL1	2.975884342	ZFP36
HIC1	2.40057528	PLAGL1
HIC1	2.494602685	HOXA7
HIC1	3.892784277	TWIST2
HIC1	-3.240096747	SMAD6
HIC1	-7.549277268	PURG
HIC1	2.565641053	CELF2
HAND2	-4.983661311	OSR1
HAND2	-2.77707576	HOXA7
HAND2	2.291832721	ZFP36
HAND2	-8.750909048	PURG
HAND2	-2.559024256	DZIP1
HAND2	-1.334532521	PTRF
HOXA7	4.081101977	PRDM8
HOXA7	7.462714324	TWIST2
HOXA7	2.879789107	ZFP36
HOXA7	2.886655792	CELF2
PRDM8	-4.071145746	PLAGL1
PRDM8	-10.35752841	HAND2
PRDM8	-7.352685757	HOXA7
PRDM8	-3.2837517	CELF2
PRDM8	-2.849491052	DZIP1
TWIST2	-3.107805856	PRDM8
TWIST2	6.291856338	PURG
TWIST2	-1.486517345	ZCCHC24
HOXA3	-2.677320175	ZFP36
SMAD6	-10.8460047	PURG
SMAD6	-5.229741838	PIWIL4
SMAD6	-3.184442309	DZIP1
SMAD6	-5.78532463	NA_11
SMAD6	-9.585647046	LRRFIP2_2
SMAD6	9.330132713	MAP4K4_2
SMAD6	6.216539538	EHBP1_2
SMAD6	-5.688310023	DST_1
SMAD6	-5.894799565	GIT2_1
SMAD6	10.10867072	NA_489
SMAD6	6.403050633	PBX1_2
SMAD6	9.975157884	EXOC7_4
SMAD6	13.92261972	FGFR1_4
ZFP36	6.804205214	NDEL1
ZFP36	-8.509075428	OSBPL8
ZFP36	-7.977512995	FGFR1_4
PURG	3.098168251	CELF2
PURG	-2.339724468	PTRF
PURG	6.097945873	NA_11
PURG	-5.626357157	MAP3K7_2
PURG	-10.7702052	MBNL1_2
PURG	-8.096738699	EPB41_5
CELF2	-7.531570951	PURG
CELF2	-9.993424638	MBNL2
CELF2	7.100285861	NA_489
PIWIL4	3.075252076	SMAD6
PIWIL4	-2.620891533	ZFP36
PIWIL4	9.743534005	PURG
PIWIL4	2.526280836	DZIP1
PIWIL4	11.9114484	NPHP3
PIWIL4	-7.889797897	RABGAP1L_2
PIWIL4	-10.49249215	VPS39
PIWIL4	-8.890080401	CTNND1_6
PIWIL4	14.11380145	SYTL2_4
PIWIL4	-5.377770263	MACF1_5
PIWIL4	-9.548478832	FGFR1_4
TDRD10	1.497703158	DZIP1
TDRD10	1.187226491	PTRF
TDRD10	-11.61307193	MBNL2
TDRD10	-2.853128527	ZRANB2
TDRD10	6.073686845	OSBPL8
TDRD10	-4.79672168	RABGAP1L_2
TDRD10	4.275608484	MPRIP_3
TDRD10	-5.979534497	CCDC50
TDRD10	7.407173508	GIT2_1
TDRD10	-10.76296505	TCF12_2
TDRD10	-7.862381934	SYTL2_4
ZFP36L2	12.34248539	CTNND1_6
ZCCHC24	-2.635610525	CELF2
ZCCHC24	0.675281199	GTF3A
ZCCHC24	12.09040967	LRRFIP2_2
ZCCHC24	5.891857429	KLC1
ZCCHC24	13.99748854	RABGAP1L_2
ZCCHC24	-13.58531954	CTNND1_6
ZCCHC24	-8.023189801	EXOC1
DZIP1	4.507756556	SMAD6
DZIP1	2.653716458	ZCCHC24
DZIP1	6.055505629	ZRANB2
DZIP1	6.565120502	MAP3K7_2
DZIP1	6.610457925	KIAA1217_3
DZIP1	-9.945432239	SPAG9_1
DZIP1	12.93903289	CCDC50
DZIP1	9.39976567	MBNL1_2
DZIP1	5.401128328	MACF1_5
PTRF	1.641631216	ZCCHC24
PTRF	-0.943763639	GTF3A
PTRF	-21.70889115	ADD3
PTRF	-7.028264065	WDFY3
PTRF	-8.966461423	SYNC
PTRF	6.722921738	SPAG9_1
PTRF	-10.61315581	NA_489
FNIP1	8.89883416	NCOR2_1
PHLDB1_3	-30.4062645	GIT2_1
MBNL2	-25.72735997	MBNL1_2
MBNL2	-30.23721435	EPB41_5
LMO7	18.19169827	MPRIP_3
NF1_2	47.17153155	MYO5A_1
NF1_2	32.014492	NA_11
NF1_2	-27.84116324	RABGAP1L_2
NF1_2	30.96042031	PLOD2
ADD3	-11.71150208	SEC31A_2
OSBPL8	15.49557502	KLC1
OSBPL8	49.67150944	RABGAP1L_2
OSBPL8	27.31236123	FGFR1OP2
RABGAP1L_2	11.0973545	DST_1
MTMR9LP_2	19.51345803	NA_11
EMC8	62.08154419	GIT2_1
VPS39	33.08745098	NA_11
VPS39	-35.23731868	RABGAP1L_2
DST_1	-31.02107014	PBX1_2
CCDC50	-53.78541435	WDFY3
CCDC50	35.13175978	CTNND1_6
CCDC50	23.6398222	PBX1_2
CCDC50	8.571426312	NCOR2_1
MYOF_3	-9.512119686	EMC8
GIT2_1	28.37571383	NF1_2
MARK3_4	-22.53473604	NA_11
MARK3_4	-17.28756083	MACF1_5
EPB41_5	-26.37456168	LRRFIP2_2
EPB41_5	-22.46362483	SPAG9_1
EPB41_5	-37.38026409	MYOF_3
FGFR1_4	-45.81163621	MBNL2
