name,node,type
TCF4,1,TF
MSC,2,TF
SHOX2,3,TF
GLI2,4,TF
HOXA9,5,TF
ETS2,6,TF
SOX17,7,TF
GLI1,8,TF
BACH2,9,TF
KLF2,10,TF
MAF,11,TF
GLIS1,12,TF
EGR1,13,TF
ZNF521,14,TF
HOXA5,15,TF
FLI1,16,TF
EMX2,17,TF
MEIS2,18,TF
HOXA2,19,TF
HOXA4,20,TF
HOXA1,21,TF
TCF7L1,22,TF
OSR1,23,TF
PLAGL1,24,TF
HIC1,25,TF
HAND2,26,TF
HOXA7,27,TF
PRDM8,28,TF
TWIST2,29,TF
HOXA3,30,TF
IGF2BP2,31,RBP
SFRS13B,32,RBP
ZCCHC5,33,RBP
PCBP3,34,RBP
NOVA2,35,RBP
METTL2A,36,RBP
CCAR1,37,RBP
LSM6,38,RBP
LCMT2,39,RBP
SRPK2,40,RBP
RNASE6,41,RBP
RPLP2,42,RBP
KIAA0427,43,RBP
RBPMS,44,RBP
ERI2,45,RBP
DDX26B,46,RBP
TDRD6,47,RBP
LARP1B,48,RBP
ADARB1,49,RBP
PRIM1,50,RBP
SPATS2L,51,RBP
LARP4,52,RBP
RBMS2,53,RBP
RPS20,54,RBP
EIF2AK1,55,RBP
HABP4,56,RBP
QKI,57,RBP
KHDRBS3,58,RBP
REXO2,59,RBP
DZIP1L,60,RBP
RBMS3,61,RBP
SAMD4A,62,RBP
PABPC4L,63,RBP
SRP54,64,RBP
FBXO17,65,RBP
CSDA,66,RBP
GSPT2,67,RBP
AFF2,68,RBP
ZFP36L1,69,RBP
RBMS1,70,RBP
SMAD6,71,RBP
ZFP36,72,RBP
PURG,73,RBP
CELF2,74,RBP
PIWIL4,75,RBP
TDRD10,76,RBP
ZFP36L2,77,RBP
ZCCHC24,78,RBP
DZIP1,79,RBP
PTRF,80,RBP
SEMA4F,81,AS
KIAA0528,82,AS
MFSD10,83,AS
MARK2,84,AS
NA_297,85,AS
AKAP13,86,AS
TTC7A_1,87,AS
INSR,88,AS
TRA2B,89,AS
ATP5C1,90,AS
REPS1,91,AS
ANXA6,92,AS
MTMR9LP_3,93,AS
DLG1,94,AS
DNM2,95,AS
APP,96,AS
STX2,97,AS
NLRC5,98,AS
PAM,99,AS
ATP6V0B,100,AS
PICALM,101,AS
NA_524,102,AS
KIAA0226,103,AS
PPP3CB,104,AS
NA_198,105,AS
EPB41L1,106,AS
ATP9B,107,AS
CLSTN1_2,108,AS
PBRM1_2,109,AS
ZFYVE21,110,AS
BAIAP2,111,AS
SYNE1_1,112,AS
CLTB_1,113,AS
PARD3,114,AS
CLSTN1_1,115,AS
SPTAN1_1,116,AS
MAP4_1,117,AS
RAI14,118,AS
SYNE1_2,119,AS
SBF1,120,AS
PTGER3,121,AS
NUMB_1,122,AS
CD44_7,123,AS
ERBB2IP,124,AS
TACC2,125,AS
CTNND1_3,126,AS
GPR56_2,127,AS
ERP29,128,AS
ARNT_2,129,AS
CD99L2,130,AS
MYO5A_1,131,AS
NA_11,132,AS
NPHP3,133,AS
FNIP1,134,AS
PHLDB1_3,135,AS
ESYT2,136,AS
MBNL2,137,AS
LMO7,138,AS
NDEL1,139,AS
NF1_2,140,AS
GTF3A,141,AS
ZRANB2,142,AS
LRRFIP2_2,143,AS
KLC1,144,AS
ADD3,145,AS
MAP3K7_2,146,AS
OSBPL8,147,AS
WDFY3,148,AS
KIF13A_1,149,AS
RABGAP1L_2,150,AS
MTMR9LP_2,151,AS
EMC8,152,AS
MAP4K4_2,153,AS
KIAA1217_3,154,AS
SYNC,155,AS
MPRIP_3,156,AS
EHBP1_2,157,AS
SPAG9_1,158,AS
VPS39,159,AS
PRRC2C,160,AS
PLOD2,161,AS
CTNND1_6,162,AS
DST_1,163,AS
EXOC1,164,AS
CCDC50,165,AS
MBNL1_2,166,AS
MYOF_3,167,AS
GIT2_1,168,AS
FGFR1OP2,169,AS
TCF12_2,170,AS
SYTL2_4,171,AS
NA_489,172,AS
PBX1_2,173,AS
MACF1_5,174,AS
MARK3_4,175,AS
EPB41_5,176,AS
EXOC7_4,177,AS
FGFR1_4,178,AS
NCOR2_1,179,AS
SEC31A_2,180,AS
